"Name","Address","Description","Latitude","Longitude"
"SCORE St. Louis Chapter","1222 Spruce St, St. Louis, MO, United States","SCORE St. Louis' mission is to “Start, grow, and build small businesses through education provided by experienced business professionals.”  It offers free business counseling and resources, low-cost workshops, and free business scan services.  Whether you’re starting a business, preparing for a loan, or have existing business issues or opportunities, SCORE mentors are ready help.</p><p><a href='http://www.twitter.com/scorestl target='_blank'>Twitter</a><br><a href='http://www.facebook.com/stlscore target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/company/score-st-louis-chapter target='_blank'>Linkedin</a>",38.6241019,-90.199999
"Varsity Tutors","101 S Hanley Rd, Saint Louis, MO, United States","<br>",38.6479886,-90.3348182
"RiverVest Venture Partners","101 S Hanley Rd, Clayton, MO, United States","RiverVest Venture Partners focuses exclusively on innovations in life sciences, providing practical advice and strategic leadership to help entrepreneurs drive early-stage companies forward. The RiverVest Venture Partners team has significant research, clinical, operational and investment expertise in Life Sciences and deep domain experience in biopharmaceuticals and medical devices. RiverVest funds and actively incubates life science companies, including through its Archer Seed Fund. The Firm also invests in select later-stage opportunities to diversify risk and maximize portfolio returns.&nbsp;<br>",38.648225,-90.3348083
"Donald Danforth Plant Science Center","975 North Warson Road, St. Louis, MO, United States","The Donald Danforth Plant Science Center is a not-for-profit research institute with a global vision to improve the human condition through plant science.<br><a href='https://www.facebook.com/DanforthCenter/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/donald-danforth-plant-science-center target='_blank'>Linkedin</a></p>",38.674539,-90.3972471
"STL Venture Works - Grand Center","3830 Washington Ave, St. Louis, MO 63108, United States","As one of only a few small business incubators to offer specialty space for culinary-related companies, STLVentureWorks-Grand Center is a robust community with a long-standing track record of success. It offers affordable office, warehouse and production space as well as the resources to help companies from virtually every business sector. Venture Works aims to provide affordable, high quality space offers opportunities for ventures to build momentum, including on-site support, fresh insights, connection to capital, networking and customized mentoring.</p><p><a href='https://twitter.com/STLVentureWorks target='_blank'>Twitter</a>",38.6412493,-90.2362603
"Bullhorn","200 S Hanley Rd, Clayton, MO 63105, USA","<p>Bullhorn is the global leader in CRM and operations software for the staffing industry. More than 7,000 staffing companies rely on Bullhorn's cloud-based platform to drive sales, build relationships, and power their recruitment processes from end to end.</p>",38.6474994,-90.3340745
"Olio City","911 Washington Avenue, St. Louis, MO, United States","<p>Olio City is a personalized city discovery application, combining original content with a learning algorithm, that utilizes machine learning to learn users likes and dislikes to make quality recommendations. Curating the best a city has to offer in events, restaurants and attractions, Olio City was acquired in 2009 by Gateway Blend.&nbsp;</p>",38.6314422,-90.1931569
"St. Louis Minority Professionals and Entrepreneurs Meetup","St. Louis, MO, United States","A gathering of Minority Professionals & Entrepreneurs from all over the St. Louis, MO area who come together in a social and informal setting to make new friends and contacts in the professional arena.",38.6270025,-90.1994042
"Greetabl","911 Washington Ave, St. Louis, MO 63101, USA","A memorable card and gift in one: Greetabl is the fun and memorable greeting card that quickly folds into an adorable gift box allowing you to wrap gift cards, jewelry, treats and more, with your handwritten message. In a few clicks, turn your photos into a greeting card that doubles as a gift box. Select from gift cards, chocolates and more to complete your perfect gift Greetabl makes it incredibly easy to send unique and personalized gifts that your people will love.<br><p></p>",38.6313709,-90.1932113
"Girls Who Code","St. Louis, MO, United States","Girls Who Code is a national non-profit organization dedicated to closing the gender gap in technology. It was founded with a single mission: to close the gender gap in technology. They offer a network and support for girls learning to code, helping them create technology that makes the world a better place. Girls Who Code currently has partnerships with almost 10 secondary schools in St. Louis.<p></p><p><a href=""https://twitter.com/girlswhocode target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/GirlsWhoCode target="" _blank'="""">Facebook</a></p>",38.6270025,-90.1994042
"Prolog Ventures","7701 Forsyth Blvd, St. Louis, MO, United States","Prolog Ventures is a venture capital company that backs companies that aim to promote healthy living.</p><p><a href='https://twitter.com/PrologVentures target='_blank'>Twitter</a><br><a href='http://www.linkedin.com/company/prolog-ventures target='_blank'>Linkedin</a></p>",38.6503785,-90.3345335
"CellARide","1615a S Ingram Mill Rd, Springfield, Missouri 65804, USA","<p>CellARide is a technology company using text messages to revolutionize vehicle shopping. CellARide provides value to shoppers, dealerships, and automotive brands. Shoppers have an easy way to get pertinent information about vehicles without awkward conversation.</p><p>Dealerships have a lead capture tool with valuable shopper insights, including their elusive cell phone number. Brands receive insight into how the shopper is interacting with their vehicles across multiple channels.</p>",37.1828998,-93.2260916
"Purina Pet Care Innovation Prize","911 Washington Avenue, St. Louis, MO, United States","The Pet Care Innovation Prize is a competition powered by Nestle Purina recognizing early-stage pet care companies who either have products or services for sale. One grandprize winner will receive up to $20,000 in cash and support, with the potential to partner with Nestle Purina. Up to five companies will receive up to $10,000 and will have the opportunity to pitch to pet care industry leaders, including senior Nestle Purina executives.</p><p><a href='https://twitter.com/PetcareInno target='_blank'>Twitter</a><br><a href='https://www.facebook.com/petcareinnovationprize%20 target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/pet-care-innovation-prize target='_blank'>Linkedin</a></p>",38.6314422,-90.1931569
"Hůga Bar","4240 Duncan Avenue, St. Louis, MO, United States","<p>Hůga is about celebrating and sharing life. Hůga is good company and unhurried time. Hůga is the love and traditions you’ll taste in these bars, which are inspired by recipes from family and friends around the world.

Soon moving to a warehouse space in West St. Louis County.</p>",38.6346357,-90.2513342
"Upaya Pharmaceuticals","1817 Stenton Path, Chesterfield, MO 63005, USA","UPAYA Pharmaceuticals, LLC is developing a novel, non-resistant antibiotic for the treatment of pneumonia. Some pneumonia is caused by superbugs and results in ~50,000 deaths/year in the U.S. and U.K.&nbsp;<span style=""color: inherit;"">Utilizing its proprietary platform technology, UPAYA, a Sanskrit word for “cure,” is driven to fulfill the mission of its name.</span>",38.6404906,-90.5760842
"Entrepreneur Organization (EO)","St. Louis, MO, United States","The Entrepreneurs’ Organization (EO) is a global, peer-to-peer network of more than 12,000+ influential business owners with 160 chapters in 50 countries. Founded in 1987, EO is the catalyst that enables leading entrepreneurs to learn and grow, leading to greater success in business and beyond.</p><p><a href='http://twitter.com/EntrepreneurOrg target='_blank'>Twitter</a><br><a href='http://www.facebook.com/EntrepreneursOrganization target='_blank'>Facebook</a></p><br><a href='http://www.linkedin.com/company/entrepreneurs%27-organization target='_blank'>Linkedin</a></p>",38.6270025,-90.1994042
"Less Annoying CRM","1017 Olive St, St. Louis, MO 63101, United States","Less Annoying CRM is a straightforward CRM solution that caters to the needs of small businesses.</p><p><a href='https://twitter.com/LessAnnoyingCRM target='_blank'>Twitter</a><br><a href='https://www.facebook.com/LessAnnoyingCRM target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/less-annoying-crm target='_blank'>Linkedin</a></p>",38.629524,-90.195282
"Longneck & Thunderfoot","911 Washington Avenue, St. Louis, MO, United States","L&T transforms your company blog into an engaging brand publication that accelerates your content marketing strategy. Our approach drives recognition of your industry expertise as a market influencer and captures the attention of trade press and business prospects to generate marketing qualified leads from search engines and social media.",38.6314422,-90.1931569
"Bridgit2College","110 North Jefferson Avenue, St. Louis, MO 63103, United States","Bridgit turns college dreams into reality by bridging the gap between college acceptance and attendance. Seniors have 50+ tasks to complete when transitioning from high school to college; Bridgit makes it easy to navigate this complex process by texting students’ helpful nudges along the way.",38.6322231,-90.2144282
"Square One Ignite","20 S Sarah St, St. Louis, MO, United States","SQ1 Ignite is a 4-week program created by Center for Emerging Technologies (CET) to help founders quick-start their business model validation process. With emphasis on the business model canvas, this process introduces entrepreneurs to the local ecosystem of support, challenges them to form and test the assumptions about their business idea, connects them with mentors, and helps them identify the crucial next steps in launching their business.</p><p><a href='https://twitter.com/CET_STL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/CenterforEmergingTechnologies-569092483268569/?ref=hl target='_blank'>Facebook</a>",38.6362117,-90.2467661
"Young Presidents Organization (YPO)","St. Louis, MO, United States","YPO is the global platform for chief executives to engage, learn and grow. YPO members harness the knowledge, influence and trust of the world’s most influential and innovative business leaders to inspire business, personal, family and community impact.<p></p><p><a href=""http://twitter.com/YPO target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/ypoglobal/ target="" _blank'="""">Facebook</a><br><a href=""https://www.linkedin.com/company/ypo-global target="" _blank'="""">Linkedin</a></p>",38.6270025,-90.1994042
"T-REX","911 Washington Ave, St. Louis, MO 63101, United States","A co-working space and technology incubator, T-REX is home to a creative network of ambitious minds including entrepreneurs, developers, designers, mentors, funders and more. The space is currently home to Tunespeak, a musician-to-fan loyalty program helping bands engage their fans; Gremln’s Social Guardian helps companies stay compliant with their social media communication; and Better Weekdays, a company focused on career placement professionals for students and graduates.

T-REX is the ideal spot for entrepreneurs to get an idea off the ground. With low cost and flexible enterprise space, along with mentors and accelerator programs, it’s the perfect space to build a solid foundation for the growth that is to come.<p></p><p><a href=""https://twitter.com/DowntownTREx target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/DowntownTREx target="" _blank'="""">Facebook</a></p>",38.6314422,-90.1931569
"Good Life Growing LLC","4057 Evans Avenue, St. Louis, MO, United States","Good Life Growing is an urban farming tech statup that utilizes hyrdoponics, aquaponics, aeroponics, and other organic grow methods to provide quality produce on a year-long basis. Good Life Growing is a social enterprise committed to addressing urban decay and local food insecurity through grass-roots based social change.<br><a href=""https://www.facebook.com/goodlifegrowing/ target="" _blank'="""">Facebook</a><p></p>",38.6516305,-90.237405
"iSelect Fund","4240 Duncan Avenue, St. Louis, MO, United States","iSelect brings accredited and institutional investment to early stage ventures in St. Louis. iSelect, focuses on ventures that work to cure cancer, fight fibrosis, improve agriculture, reduce costs of energy efficiency, streamline telecommunications, increase enterprise security, wrangle with logistics, and create new retail solutions. They invest alongside regional venture capitalists typically led by successful entrepreneurs with proven expertise.</p><p><a href='https://twitter.com/iselectfund target='_blank'>Twitter</a><br><a href='https://www.facebook.com/iselectfund target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/iselect-fund target='_blank'>Linkedin</a></p>",38.6346583,-90.2513906
"Stadia Ventures","4240 Duncan Avenue, St. Louis, MO, United States","Stadia Ventures’ accelerator is a 12-week intensive boot camp that helps established sports business startups get to the next level through the combination of up to an $100,000 equity investment and intensive mentoring. The accelerator also includes networking with the top sports business executives in the country, including senior leadership at teams, leagues, sponsors, manufacturers, marketers and business services.</p><p><a href='http://twitter.com/stadiaventures target='_blank'>Twitter</a><br><a href='http://facebook.com/stadiaventures target='_blank'>Facebook</a></p>",38.6346357,-90.2513342
"BenMedica","1100 Corporate Square Drive, Creve Coeur, MO 63132, United States","<p>BenMedica improves electronic healthcare communication by enabling better decision making, with timely, accurate and detailed information available at the point of care that reduces costs and enhances efficiency.

BenMedica has gone through the Capital Innovators program.</p>",38.6800749151397,-90.4008981282228
"SixThirty","911 Washington Avenue, St. Louis, MO, United States","SixThirty is an early-stage venture fund that invests in enterprise technology companies from around the world building FinTech and InsurTech solutions for incumbents. Each year, SixThirty invests in 8-12 new companies and participates in select follow-on opportunities. Companies that receive investment from SixThirty are eligible for the SixThirty Go-To-Market Program, which entails curated meetings with corporate partners, hands-on training, mentoring, and networking opportunities with industry incumbents.<br>",38.6314422,-90.1931569
"Per Diem Plus","7701 Forsyth Blvd, St. Louis, MO, United States","<p>Per Diem Plus® mobile software designed to ""audit-proof"" truck drivers per diem &amp; deductible expense. An IRS-compliant replacement for logbooks to prove trucker per diem and travel-related expenses now available on Android and iOS with a monthly subscription.

Designed for US-based solo / team owner operators, lease operators and company drivers.

The app is:
Automated - trucker per diem for US and Canada
Intuitive - trucker-specific expense tracking
Effortless - accountant-friendly reports tool
Convenient - per diem and expense data is retained for 4 years.</p>",38.6503785,-90.3345335
"Lumogram","TechArtista CWE, Washington Boulevard, St. Louis, MO, United States","Lumogram logos loop perfectly for digital promotions.
Professionally animated by hand -- with endless uses -- there's a place for branded animations in every type of business.<p></p><p><a href=""https://twitter.com/lumogram target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/lumogram target="" _blank'="""">Facebook</a></p>",38.6499727,-90.2602052
"Mayflower Bioscience","1100 Corporate Square Drive, St. Louis, MO, United States","Mayflower Bioscience provides specialized and innovative solutions that include highly validated reagents and assays for scientific research in molecular biology, cellular biology and drug discovery. Our portfolio is designed to either offer improvements in the workflow of research scientists or novel products for new applications in Degenerative Medicine (e.g. Cancer, Neurodegeneration, Cardiovascular disease, Inflammation &amp; Immunity and Metabolic diseases), Regenerative Medicine (e.g. cellular therapies), Biomarker Technologies and Detection (Western blot imaging system).",38.6776737,-90.4004921
"Nebula","3407 S Jefferson Ave, St. Louis, MO 63118, United States","<p>Nebula has been available to the small businesses in St. Louis since 2010, making it one of the first co-working spaces in the city. With more than 85 businesses using the space—and an even longer member list—Nebula offers a variety of work environments across 25,000 square feet of space. Ranging from informal lounge areas and conference rooms to dedicated desks and private offices, Nebula even offers ""co-shopping"" spaces to sell your products directly on Cherokee street.<br></p>",38.5930323,-90.225859
"Blue 1647","4811 Delmar Blvd, St. Louis, MO, United States","BLUE1647 is an entrepreneurship and technology innovation center that fosters economic development in technology and 21st century skills through classes, workshops and events around technology, workforce development and business acceleration.</p><p><a href='https://twitter.com/launch_code target='_blank'>Twitter</a><br><a href='https://www.facebook.com/launchcodestl target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/company/3334793 target='_blank'>Linkedin</a>",38.651606,-90.2592938
"Junior Code Academy","15 N 1st St, Belleville, IL, United States","Youth coding education (ages 9-17); classes in Computer Science, Python, Web Design, and JavaScript</p><p><a href='https://twitter.com/JCodeAcademy target='_blank'>Twitter</a><br><a href='https://www.facebook.com/juniorcodeacademy target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company-beta/10066228/ target='_blank'>Linkedin</a></p>",38.514255,-89.985887
"FinLocker","168 N Meramec Ave, Clayton, St. Louis, Missouri 63105, USA","FinLocker is a consumer-enabled financial technology platform that gives lenders access to critical borrower information via a trusted 3rd party that can be used to streamline the origination and underwriting processes for mortgages and other financial products.",38.6540522,-90.3387323
"EDC Business and Community Partners","5988 Mid Rivers Mall Drive, Saint Peters, MO, United States","The EDC Business and Community Partners has assisted startups since 1990!  Recognized as a leader in business incubation and counseling, this facility helps startups seeking affordable month-to-month office and warehouse space.  In addition, has various funding sources for both established small businesses and startups through business loans, venture capital funding and startup ""shark-like"" competitions.

Type:  Grants / Loans
Funding Level:  Seed / Growth
Stage of Company:  Revenue
Funding Range:  Up to $50,000
Non-Dilutive: Yes
Mentorship:  Yes</p><p><a href='https://twitter.com/edcscc/ target='_blank'>Twitter</a><br><a href='https://www.facebook.com/EDCSCC/?ref=ts%2F target='_blank'>Facebook</a></p>",38.7508843,-90.635128
"Taptl","911 Washington Avenue, St. Louis, MO, United States","taptl invented the world's first fully-custom transparent touch-screen glass monitor.<p></p><p><a href=""https://twitter.com/taptl target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/Taptl/?fref=ts target="" _blank'="""">Facebook</a></p>",38.6314422,-90.1931569
"Taptl","911 Washington Avenue, St. Louis, MO, United States","Taptl invented interactive transparent displays: turn a window into a see through 1080p or 4k touch screen.<br>",38.6314422,-90.1931569
"The Call List","911 Washington Avenue, St. Louis, MO, United States","Our mission is to connect audiences directly to experts, artists, educators, and more through live two-way video and audio streaming in a comfortable format. Mobile app users opt-in to relevant events and receive a video call from the host, who experiences their collective audience on a larger screen.",38.6314422,-90.1931569
"Enliven","1424 Washington Avenue, St. Louis, MO, United States","Technology consultancy specializing in custom business software.",38.632272,-90.200716
"St. Louis Entrepreneur Group","St. Louis, MO, United States","The St. Louis Entrepreneur Group is for people that either own a business or would like to own a business in the St. Louis area. They regularly help other entrepreneurs and small business startups as well as offer assistance to those already blazing their own trail.",38.6270025,-90.1994042
"ITEN Concept Development","T-REX, Washington Avenue, St. Louis, MO, United States","ITEN's Concept Development program focuses on helping the entrepreneur create a clear path forward for developing measurable outcomes on the road to venture success. Concept Development includes networking events and opportunities for entrepreneurs to find talent and augment their startup.<p></p><p><a href=""https://twitter.com/itenstl target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/itenstlouis target="" _blank'="""">Facebook</a></p><br><a href=""https://www.linkedin.com/company/itenstl target="" _blank'="""">Linkedin</a><p></p>",38.6312958,-90.1932019
"Corvus Robotics","T-REX, Washington Avenue, St. Louis, MO, United States","Corvus Robotics improves the way warehouses, distribution centers, and manufacturing facilities understand their physical footprint and associated inventory, using intelligent aerial drones. They create unmanned indoor drones that incorporate computer vision and analytics to help warehouses automate inventory and increasing worker efficiency. The drones fly themselves to scan pallet labels, no humans involved.<br>",38.6312958,-90.1932019
"Savvy Coders Meetup","St. Louis, MO, United States","A meetup for beginning coders looking to network and explore a career in programming. SavvyCoders also offers coding instruction in a classroom setting.</p><p><a href='https://twitter.com/savvycoders target='_blank'>Twitter</a><br><a href='https://www.facebook.com/SavvyCodersStLouis/ target='_blank'>Facebook</a></p>",38.6270025,-90.1994042
"University of Missouri Extention Small Business & Technology Center","416 South 6th Street, Columbia, MO, United States","Small Business & Technology Development Centers (SBTDCs) are a unique collaboration of SBA federal funds, state and local governments, and private sector resources. SBTDCs provide a vast array of technical help to small businesses and aspiring entrepreneurs. By supporting business growth, sustainability and enhancing the creation of new businesses entities, SBTDCs foster local and regional economic development through job creation and retention. As a result of the extensive, one-to-one, long-term professional business advising, low-cost training and other specialized services SBTDC clients receive, the program remains one of the nation’s largest small business assistance programs in the federal government.</p><p><a href='https://twitter.com/MObusinessNet target='_blank'>Twitter</a><br><a href='https://www.facebook.com/missouribusiness.net target='_blank'>Facebook</a></p><br><a href='http://www.linkedin.com/groups?home=&gid=6523219 target='_blank'>Linkedin</a></p>",38.9469323,-92.3308937
"Advantage Capital Partners","190 Carondelet Plaza, St. Louis, MO, United States","Advantage Capital's mission is to bring businesses, technologies and jobs to communities that have historically lacked access to investment capital, while also generating competitive returns for their investors. Advantage Capital has been an innovator in raising private institutional capital to invest in businesses located in states and communities that are underserved by traditional sources of risk capital.</p><p><a href='https://twitter.com/ACPImpact target='_blank'>Twitter</a><br><a href='https://www.facebook.com/AdvantageCapitalPartners target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/advantage-capital-partners target='_blank'>Linkedin</a></p>",38.6482694,-90.3332073
"Crossbar","119 South Main Street, Saint Charles, MO, United States","Crossbar is a SaaS platform providing management tools, registration and websites for youth sports organizations.</p><p><a href='https://twitter.com/crossbarhq target='_blank'>Twitter</a>",38.7807047,-90.4819897
"Sketch","930 Kehrs Mill Road, Ballwin, MO, United States","Our Sketchpad location is a multi-functional technology center.  

Sketch is a provider of custom software development and development coaching.  

Located on the 2nd floor of ""The Barn at Lucerne"".</p><p><a href='https://twitter.com/sketchstl target='_blank'>Twitter</a><br><a href='https://www.linkedin.com/company/10516378?trk=prof-exp-company-name target='_blank'>Linkedin</a><br><a href='http://sketchdev.io/blog/ target='_blank'>Job Openings</a></p>",38.6060111,-90.5654962
"Bullhorn","200 South Hanley Road, Clayton, MO, United States","Bullhorn is the global leader in CRM and operations software for the staffing industry. More than 7,000 staffing companies rely on Bullhorn's cloud-based platform to drive sales, build relationships, and power their recruitment processes from end to end.</p><p><a href='http://twitter.com/Bullhorn target='_blank'>Twitter</a><br><a href='http://facebook.com/Bullhorn target='_blank'>Facebook</a></p><br><a href='http://linkedin.com/company/bullhorn target='_blank'>Linkedin</a></p><br><a href='http://bullhorn.com/careers target='_blank'>Job Openings</a></p>",38.6474714,-90.3337942
"International Institute of St. Louis","3401 Arsenal St, St. Louis, MO 63118, United States","The International Institute of St. Louis offers comprehensive adjustment services for refugees and immigrants in our community. In turn, these newcomers expand the richness of St. Louis’ diversity and help revitalize our economy. 

Contrary to many other metropolitan areas around the nation, St. Louis owes a significant portion of its growth in foreign-born populations to refugee resettlement, rather than to general immigration. These newcomers who have fled war-torn countries around the world benefit from top notch welcoming services, including English , Computer & Citizenship classes, job search & training, counseling and social work, refugee resettlement, technical assistance, micro-finance funds, translation and interpretation.</p><p><a href='https://twitter.com/iistl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/IISTL/ target='_blank'>Facebook</a>",38.6029315,-90.2380972
"Startup Founder 101","St. Louis, MO, United States","Startup Founder 101 brings together aspiring and experienced tech entrepreneurs to discuss, meet, and collaborate to build great new startups, and to push the local startup ecosystem forward.<p></p><p><a href=""https://twitter.com/founding target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/pages/The-Founder-Institute/176659728864 target="" _blank'="""">Facebook</a><br><a href=""http://www.linkedin.com/company/the-founder-institute target="" _blank'="""">Linkedin</a></p>",38.6270025,-90.1994042
"Advocado","1000 Clark Ave, St. Louis, MO 63102, USA","<br>",38.6243883,-90.196895
"Label Insight","611 North 10th Street, Saint Louis, MO 63101, United States","Helping brands and retailers excel at extracting actionable insights from product label data",38.6314885,-90.1939584
"Ascension Ventures","101 South Hanley Road, Clayton, MO, United States","Ascension Ventures is a strategic healthcare venture fund with more than $800 million in capital under management. Their limited partners are some of the most respected, values-driven nonprofit healthcare systems in the US. As a strategic investor, Ascension Ventures adds value by sharing its portfolio companies' solutions across its limited partner base. Ascension Ventures generates returns to their limited partners that help support their missions to provide care to the poor and vulnerable.",38.648225,-90.3348083
"St. Louis Mosaic Project","7733 Forsyth Blvd, St. Louis, MO, United States","<p>As foreign-born in the St. Louis region are 60 percent more likely than native born to start a business, the Mosaic Project wants to connect immigrant entrepreneurs to the resources to successfully launch a business. Increasing the number of immigrants who start high-tech or neighborhood business will add to St. Louis' economic prosperity.&nbsp;</p><p>The Mosaic Project has worked closely with and has been a key navigator for immigrant entrepreneurs in high-tech and neighborhood startups. 

The organization is the supporter within the St. Louis Economic Development Partnership for for immigrant entrepreneur companies (called the Mosaic awards) for the Accelerate Challenge and has worked with most of the foreign-born entrepreneurs coming through Arch Grants and the other competitions.</p>",38.6506532,-90.3353141
"Cofactor Genomics","4044 Clayton Ave, St. Louis, MO 63110, United States","Cofactor Genomics uses RNA to diagnose disease. Our RNA-based tests are enabling drug companies to develop new drugs and helping physicians make personalized medicine a reality. Cofactor provides unique and valuable diagnostics and disease monitoring for the 95% of diseases that cannot be diagnosed by DNA.

Reading a patient’s DNA informs someone about a probability of someday contracting the disease, but says little about their current state of health. This is because our DNA remains largely unchanged throughout our life. RNA, on the other hand, is changing all the time in response to diet, exercise, infection, and disease. It serves as a barometer of health, reporting on what is happening in your body right at this instant. Our team of former Human Genome Project Scientists (who have worked together for 15 years) have developed technologies necessary to enable RNA’s use as a diagnostic.<p></p>",38.6318542,-90.2485777
"Startup Connection","Washington University in St. Louis, St. Louis, MO, United States","<p>Startup Connection is St. Louis' biggest annual startup event. The event gives St. Louis’ top startups the opportunity to present their companies to a packed house of entrepreneurs, investors, and other members of the innovation community. The event combines a startup showcase, resource fair, and is topped off with fast-paced pitch session. This event is held during Global Entrepreneurship Week in November each year.</p>",38.6487895,-90.3107962
"BALSA Foundation Idea Support","4240 Duncan Avenue, St. Louis, MO, United States","The BALSA Foundation’s mission is to promote social equity and prosperity in the St. Louis region by empowering first-time entrepreneurs to start and grow their businesses. They maintain an online, step-by-step guide to starting a business, provide free feedback from experts to anyone with a business idea, provide cash grants, mentorship, and donations of professional services to first time entrepreneurs who need and will benefit from them the most.</p><p><a href='https://twitter.com/BALSAfoundation target='_blank'>Twitter</a><br><a href='https://www.facebook.com/BALSAFoundation target='_blank'>Facebook</a></p>",38.6346583,-90.2513906
"STL Python Meetup","St. Louis, MO, United States","A group for both seasoned developers and those just curious about the Python language. Each month's meetup features a discussion around a topic or lightening talks.",38.6270025,-90.1994042
"EDC Business and Community Partners","5988 Mid Rivers Mall Drive, Saint Peters, MO, United States","The EDC Business and Community Partners has assisted startups since 1990!  Recognized as a leader in business incubation and counseling, this facility helps startups seeking affordable month-to-month office and warehouse space.  In addition, has various funding sources for both established small businesses and startups through business loans, venture capital funding and startup ""shark-like"" competitions.

Type:  Grants / Loans
Funding Level:  Seed / Growth
Stage of Company:  Revenue
Funding Range:  Up to $50,000
Non-Dilutive: Yes
Mentorship:  Yes</p><p><a href='https://twitter.com/edcscc/ target='_blank'>Twitter</a><br><a href='https://www.facebook.com/EDCSCC/?ref=ts%2F target='_blank'>Facebook</a>",38.7508843,-90.635128
"Hello Juice & Smoothie","Hello Juice & Smoothie, 1000 South Newstead Avenue, St. Louis, MO, USA","N/A",38.6296901,-90.2577725
"Zirrus One, LLC","4240 Duncan Avenue, St. Louis, MO, United States","</p><p><a href='https://twitter.com/ZirrusOne target='_blank'>Twitter</a><br><a href='https://www.linkedin.com/company-beta/15174696/ target='_blank'>Linkedin</a></p>",38.6346357,-90.2513342
"East St. Louis Initiative","Saint Louis, MO, USA","The East St. Louis Initiative engages local entrepreneurial leaders from East St. Louis with Washington University student teams and provides connections to make micro-enterprises sustainable.<br><a href='https://www.facebook.com/EastSt.louisinitiative/ target='_blank'>Facebook</a></p>",38.6105426,-90.3371889
"Helper Helper","911 Washington Avenue, St. Louis, MO, United States","<p>Helper Helper is a platform that makes tracking community service simple and engaging. With over 370 NCAA athletic department (150,000 student-athletes) using Helper Helper, our app and web portal has become a trusted tool within college athletics.</p>",38.6314422,-90.1931569
"GiftAMeal","4240 Duncan Avenue, St. Louis, MO, United States","GiftAMeal is a mobile application that helps provide a meal to someone in need each time a user dines at a partner restaurant. Restaurants pay a subscription fee to participate in the GiftAMeal marketing program. GiftAMeal is a proud participant in the Capital Innovators Spring 2016 cohort.<p></p><p><a href=""https://twitter.com/GiftAMealApp target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/giftameal/ target="" _blank'="""">Facebook</a></p><br><a href=""https://www.linkedin.com/company/giftameal target="" _blank'="""">Linkedin</a><p></p>",38.6346357,-90.2513342
"Accelerate STL Challenge","211 N Broadway, St. Louis, MO, United States","The Accelerate St. Louis Challenge is a competition to identify the best local startups. The reward: No-strings-attached cash, top-tier professional services, new office space and an opportunity to compete in front of St. Louis’ startup community. With some of the biggest sponsors and best prize packages, the challenge highlights local entrepreneurs, helps them develop their venture and rewards the best-of-the-best in an all-out public celebration at the annual Startup Connection event every November. Accelerate St. Louis is a joint project of the St. Louis Regional Chamber and St. Louis Economic Development Partnership.</p><p><a href='https://twitter.com/AccelerateSTL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/AccelerateStLouis target='_blank'>Facebook</a></p><br><a href='http://www.linkedin.com/groups/Accelerate-St-Louis-4638368 target='_blank'>Linkedin</a></p>",38.6275671,-90.1895269
"St. Louis Full Stack Web Development Meetup","St. Louis, MO, United States","A group for those interested in learning how to create full-stack, scalable internet applications.",38.6270025,-90.1994042
"STL FlipZone For Growing Ventures","4633 World Parkway Circle, Berkeley, MO, United States","University of Missouri – St. Louis and Gateway Venture Mentoring Service have collaborated to provide an agile and flexible peer-based and expert-built training program to help established ventures grow. Our program uses strategic processes designed by expert consultants to help them achieve scale with their current knowledge, skills and growth plans.

FlipZone is a means to help ventures map their plans to achieve scale.",38.7289648,-90.3347193
"Skejul","20 S Sarah St, Saint Louis, Missouri 63108, United States","Skejul is a dynamic global calendar in the cloud that enables people to set meetings in seconds without sharing calendars, bouncing emails back and forth, or disclosing private information.  Skejul eliminates friction when planning and managing business meetings, family activities, and school events.  Just tell Skejul who you want to connect with and the predictive computing platform works on everyone’s behalf to find the best date, time, and place.

Skejul is intelligent assistance not just another calendar app.  Skejul is social, it turns commitments into content people can act on.  Load Skejul with your activities from google and outlook.com calendars.  Search and add public events (school, social, professional) .  Share events with specific people and groups.

The Skejul platform uses predictive computing in patent pending technology to achieve our mission to simplify your future with awesome new ways to connect, communicate, and collaborate.  It’s simple, fast, private, and what you should expect from really smart technology.",38.6362117,-90.2467661
